order_line_key,date_key,delivery_date_key,cost_centre_key,vendor_key,product_key,currency_key,quantity,unit_price,line_total_amount,line_total_aud,line_total_usd,order_id,line_number,requisitioner,approval_status,source_filename,line_uid,original_currency,created_at
b5b84c522e452e6b6b603effce911a4c,20250831,,91f0408a61f92f915ac67558b79fc8be,d09e7ca98733633b21e000b80deb3263,872d517c29fd86390bd5247bfc49ab27,2,3.0,162.6,487.79999999999995,487.79999999999995,320.4669172764385,ORD_AU_246493,9,user_2658@company.com,PENDING,data\source\orders_au_cc_au_003_202508.json,14596833716989976378,AUD,2025-08-10 14:24:59.504+10
42c6f7a54150c7824518c0836e45c6c4,20250831,,c977754b89e8dc8ba17cdeaa23d38ae7,2daf87bc3b78cf832431558d684aa808,3952f9e49d5a126a3e4a8b216a7c4ac1,2,2.0,17.19,34.38,34.38,22.58641372686338,ORD_AU_254049,6,user_4685@company.com,APPROVED,data\source\orders_au_cc_au_001_202508.json,1179968814239716786,AUD,2025-08-10 14:24:59.504+10
591491c480e973f95d4284c5ced419ed,20250831,,d4de6470b90d995178d2494307f639ef,d09e7ca98733633b21e000b80deb3263,80d5a28f2fcf06e9e1049a79cc965eb2,1,4.0,444.2,1776.8,2704.5632272,1776.8,ORD_US_585243,1,user_8275@company.com,APPROVED,data\source\orders_us_cc_us_003_202508.json,569327008168288653,USD,2025-08-10 14:24:59.504+10
1b62c6f94be5792c75016999288f3696,20250831,,62d296563f195530c1c981ff481b07b3,bbc4ee462e9f76716579f1a6c5627b49,89b40904deb88f8684c25d3c11340838,1,3.0,15.87,47.61,72.46975194,47.61,ORD_US_981519,10,user_7977@company.com,SUBMITTED,data\source\orders_us_cc_us_001_202508.json,16607544546173427863,USD,2025-08-10 14:24:59.504+10
072da2fd88da448513a8d5841b84bea5,20250830,,91f0408a61f92f915ac67558b79fc8be,bbc4ee462e9f76716579f1a6c5627b49,14d8e65533f4138bc6edcf9a5e4a97dc,2,2.0,398.92,797.84,797.84,531.2116117649017,ORD_AU_617235,7,user_9774@company.com,PENDING,data\source\orders_au_cc_au_003_202508.json,793558315922495532,AUD,2025-08-10 14:24:59.504+10
da34c02664ceece9485b3da553a2a283,20250830,,d4680a0984ad2d62127cc2b5ec019624,d64e0756aab2ec1bb750fbe1e057b307,362f93603b14f190cfa5cceeff63b2e5,2,1.0,86.35,86.35,86.35,57.49288413203056,ORD_AU_845366,8,user_9810@company.com,SUBMITTED,data\source\orders_au_cc_au_002_202508.json,10534010262869605858,AUD,2025-08-10 14:24:59.504+10
44d6f1b02c5098bf548dfab47bd46aee,20250830,,d4de6470b90d995178d2494307f639ef,2daf87bc3b78cf832431558d684aa808,89b40904deb88f8684c25d3c11340838,1,5.0,360.46,1802.3,2706.9194275,1802.3,ORD_US_587665,5,user_3574@company.com,SUBMITTED,data\source\orders_us_cc_us_003_202508.json,14395584070476363043,USD,2025-08-10 14:24:59.504+10
e9f3d7766e8004c20f8571f2c478c400,20250829,,8f8c5193945cd7cf3287ea3c935d3ddc,2daf87bc3b78cf832431558d684aa808,2d76498279fceb080c8276f555bf5877,2,1.0,16.96,16.96,16.96,10.957417254055732,ORD_AU_889149,10,user_1097@company.com,SUBMITTED,data\source\orders_au_cc_au_005_202508.json,4960497273794583694,AUD,2025-08-10 14:24:59.504+10
69f6c2ea840e387c6e59c94d4763ad4e,20250829,,62d296563f195530c1c981ff481b07b3,d09e7ca98733633b21e000b80deb3263,c7ce8e91f8a0069a94842b91867b046f,1,2.0,253.47,506.94,784.6468014,506.94,ORD_US_334874,1,user_1542@company.com,PENDING,data\source\orders_us_cc_us_001_202508.json,9394921723401853012,USD,2025-08-10 14:24:59.504+10
7672521febaa297ef077aba24483b7ae,20250829,,62d296563f195530c1c981ff481b07b3,153f4fead6bcb7b8277efee4aed71c31,f3f79b4a7f54b4fa78bc9df0fe660411,1,2.0,172.93,345.86,535.3255666,345.86,ORD_US_526002,4,user_7381@company.com,SUBMITTED,data\source\orders_us_cc_us_001_202508.json,6525551843597702484,USD,2025-08-10 14:24:59.504+10
